epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.1211,2.51196,5.52739,2.35617,0.4728,0.10249,0.09315,0.03776,2.32254,5.17051,2.35492,0.000237294,0.000237294,0.000237294
2,110.575,2.23075,4.49949,2.07547,0.65788,0.0934,0.10527,0.04344,2.20781,4.3044,2.20706,0.000468572,0.000468572,0.000468572
3,164.511,2.20551,4.11144,2.0741,0.79191,0.08002,0.07496,0.035,2.255,4.25701,2.09977,0.000693118,0.000693118,0.000693118
4,219.037,2.17971,3.79809,2.01325,0.80453,0.08735,0.12578,0.06132,2.08101,3.5849,2.18803,0.000683706,0.000683706,0.000683706
5,274.841,2.08916,3.41699,2.00651,0.78789,0.11416,0.15361,0.06657,2.16184,3.33821,2.08225,0.000673608,0.000673608,0.000673608
6,329.992,2.11583,3.20705,1.97834,0.74581,0.17634,0.20674,0.09983,2.10704,3.07252,2.1098,0.00066351,0.00066351,0.00066351
7,384.416,2.05306,3.01991,1.93479,0.43554,0.28441,0.1973,0.09504,1.97819,2.92691,1.93534,0.000653412,0.000653412,0.000653412
8,438.434,2.00699,2.84758,1.8943,0.33784,0.3023,0.22597,0.09827,1.98667,2.81742,1.98791,0.000643314,0.000643314,0.000643314
9,492.468,1.99317,2.64172,1.88191,0.48553,0.25289,0.24834,0.10687,2.00924,2.62704,1.97038,0.000633216,0.000633216,0.000633216
10,547.328,1.9456,2.50215,1.84648,0.46207,0.30443,0.27898,0.12886,1.98797,2.4293,1.99483,0.000623118,0.000623118,0.000623118
11,601.633,1.93992,2.50991,1.86498,0.48978,0.39032,0.29581,0.14024,1.96124,2.48467,1.92804,0.00061302,0.00061302,0.00061302
12,658.395,1.88711,2.40655,1.79927,0.46815,0.3534,0.31855,0.14797,1.95446,2.41491,2.00064,0.000602922,0.000602922,0.000602922
13,713.296,1.8487,2.20706,1.74421,0.75663,0.31465,0.41496,0.22403,1.88614,2.18464,1.8822,0.000592824,0.000592824,0.000592824
14,767.222,1.86347,2.18274,1.80307,0.63691,0.42106,0.49045,0.25651,1.91486,2.17012,1.91851,0.000582726,0.000582726,0.000582726
15,821.379,1.83501,2.09161,1.77872,0.48437,0.40661,0.45524,0.20708,2.00894,2.11746,1.96489,0.000572628,0.000572628,0.000572628
16,875.576,1.82029,2.02481,1.73556,0.61505,0.41458,0.57158,0.31316,1.89826,2.08074,1.87254,0.00056253,0.00056253,0.00056253
17,929.352,1.76697,1.96712,1.75094,0.5807,0.58587,0.54352,0.2787,1.89217,1.93287,1.90266,0.000552432,0.000552432,0.000552432
18,983.56,1.7979,1.92796,1.73196,0.70197,0.43687,0.48593,0.24357,1.91127,1.92988,1.88265,0.000542334,0.000542334,0.000542334
19,1038.2,1.77494,1.87504,1.70638,0.6343,0.51721,0.60861,0.32712,1.84042,2.01649,1.85735,0.000532236,0.000532236,0.000532236
20,1092.57,1.76125,1.81871,1.69345,0.58352,0.64845,0.61803,0.306,1.89249,1.80795,1.87131,0.000522138,0.000522138,0.000522138
21,1146.86,1.75232,1.75948,1.69051,0.69076,0.45974,0.53778,0.26882,1.92145,1.95602,1.9106,0.00051204,0.00051204,0.00051204
22,1201.12,1.73528,1.77338,1.67983,0.57203,0.66877,0.60308,0.28974,1.97564,1.94006,1.91006,0.000501942,0.000501942,0.000501942
23,1256.19,1.69783,1.72938,1.64539,0.71345,0.54411,0.67453,0.35711,1.89754,2.10402,1.86453,0.000491844,0.000491844,0.000491844
24,1310.92,1.70395,1.63668,1.63941,0.65971,0.6106,0.65383,0.32826,1.90987,1.83765,1.87967,0.000481746,0.000481746,0.000481746
25,1365.34,1.68002,1.64519,1.63147,0.56219,0.57656,0.65414,0.33828,1.9195,1.63517,1.8414,0.000471648,0.000471648,0.000471648
26,1419.32,1.65711,1.63525,1.60524,0.6468,0.60868,0.66335,0.34234,1.83865,1.68937,1.82156,0.00046155,0.00046155,0.00046155
27,1473.78,1.6574,1.522,1.6058,0.75935,0.57889,0.67663,0.32918,1.92844,1.73311,1.88266,0.000451452,0.000451452,0.000451452
28,1528.58,1.64397,1.52206,1.60072,0.64575,0.60691,0.69246,0.36646,1.87785,1.62411,1.86244,0.000441354,0.000441354,0.000441354
29,1583.06,1.64797,1.52212,1.62008,0.54435,0.76088,0.74045,0.35494,1.89013,1.59201,1.86344,0.000431256,0.000431256,0.000431256
30,1637.26,1.60703,1.43143,1.58095,0.73746,0.62046,0.74069,0.36576,1.86674,1.5821,1.85518,0.000421158,0.000421158,0.000421158
